INFO 2024-03-09 19:10:48,812 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,813 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,816 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,817 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,818 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,818 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,822 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,823 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,823 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 19:10:49,082 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-03-09 19:10:49,082 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-03-09 19:11:06,739 "POST /enquiry/1/histroy HTTP/1.1" 302 0
INFO 2024-03-09 19:11:06,862 "GET /enquiry/1/ HTTP/1.1" 200 13723
INFO 2024-03-09 19:11:06,987 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 19:11:23,870 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:11:29,269 "GET /student/list HTTP/1.1" 200 11014
INFO 2024-03-09 19:11:31,162 "GET /student/1/ HTTP/1.1" 200 13667
INFO 2024-03-09 19:11:32,878 "GET /student/1/booklog/ HTTP/1.1" 200 11894
INFO 2024-03-09 19:12:07,294 "GET /batches/ HTTP/1.1" 200 11188
INFO 2024-03-09 19:12:08,656 "GET /batches/1/ HTTP/1.1" 200 15298
INFO 2024-03-09 19:12:32,938 "GET /batches/ HTTP/1.1" 200 11188
INFO 2024-03-09 19:12:34,680 "GET /batches/create/ HTTP/1.1" 200 12945
